rounded_longitude,rounded_latitude,dropoffs,pickups
-73.858,40.766,1.0,1.0
-73.858,40.770,,1.0
-73.859,40.767,,1.0
-73.859,40.768,2.0,1.0
-73.859,40.769,,3.0
-73.859,40.771,,1.0
-73.859,40.773,,1.0
-73.859,40.774,,1.0
-73.860,40.767,1.0,
-73.860,40.768,3.0,
-73.860,40.769,1.0,6.0
-73.860,40.770,,8.0
-73.860,40.771,,2.0
-73.860,40.772,,2.0
-73.860,40.774,,2.0
-73.861,40.766,1.0,1.0
-73.861,40.767,160.0,4.0
-73.861,40.768,4133.0,9.0
-73.861,40.769,5.0,24.0
-73.861,40.770,1.0,17.0
-73.861,40.771,,4.0
-73.861,40.772,,2.0
-73.861,40.773,,2.0
-73.861,40.774,,1.0
-73.861,40.776,,1.0
-73.861,40.778,1.0,
-73.862,40.766,,6.0
-73.862,40.767,692.0,13.0
-73.862,40.768,14330.0,192.0
-73.862,40.769,5475.0,1124.0
-73.862,40.770,14.0,92.0
-73.862,40.771,,9.0
-73.862,40.772,,8.0
-73.862,40.773,1.0,1.0
-73.862,40.774,,2.0
-73.862,40.775,,1.0
-73.863,40.766,11.0,12.0
-73.863,40.767,464.0,27.0
-73.863,40.768,494.0,696.0
-73.863,40.769,1208.0,44882.0
-73.863,40.770,203.0,32114.0
-73.863,40.771,1.0,146.0
-73.863,40.772,,14.0
-73.863,40.773,1.0,2.0
-73.863,40.774,,3.0
-73.863,40.777,,1.0
-73.864,40.766,7.0,7.0
-73.864,40.767,47.0,34.0
-73.864,40.768,246.0,174.0
-73.864,40.769,1763.0,3581.0
-73.864,40.770,5263.0,41203.0
-73.864,40.771,3.0,335.0
-73.864,40.772,,26.0
-73.864,40.774,,1.0
-73.865,40.766,6.0,3.0
-73.865,40.767,15.0,25.0
-73.865,40.768,31.0,82.0
-73.865,40.769,135.0,85.0
-73.865,40.770,14502.0,1776.0
-73.865,40.771,10099.0,950.0
-73.865,40.772,,18.0
-73.865,40.773,,2.0
-73.865,40.774,,1.0
-73.866,40.766,1.0,3.0
-73.866,40.767,13.0,17.0
-73.866,40.768,9.0,14.0
-73.866,40.769,237.0,361.0
-73.866,40.770,180.0,688.0
-73.866,40.771,7883.0,3489.0
-73.866,40.772,7.0,164.0
-73.866,40.773,,2.0
-73.866,40.776,,1.0
-73.866,40.778,,1.0
-73.867,40.766,6.0,1.0
-73.867,40.767,307.0,16.0
-73.867,40.768,324.0,31.0
-73.867,40.769,692.0,76.0
-73.867,40.770,391.0,393.0
-73.867,40.771,444.0,998.0
-73.867,40.772,79.0,549.0
-73.867,40.773,,2.0
-73.867,40.775,,1.0
-73.868,40.766,8.0,
-73.868,40.767,,1.0
-73.868,40.768,405.0,22.0
-73.868,40.769,54.0,40.0
-73.868,40.770,14.0,63.0
-73.868,40.771,97.0,110.0
-73.868,40.772,20.0,98.0
-73.868,40.773,21.0,74.0
-73.868,40.774,,2.0
-73.868,40.775,,2.0
-73.868,40.776,,1.0
-73.868,40.778,1.0,1.0
-73.869,40.771,54.0,59.0
-73.869,40.772,25.0,10.0
-73.869,40.773,117.0,217.0
-73.869,40.774,,7.0
-73.869,40.775,1.0,5.0
-73.869,40.776,,1.0
-73.870,40.771,19.0,29.0
-73.870,40.772,372.0,245.0
-73.870,40.773,3438.0,666.0
-73.870,40.774,4034.0,653.0
-73.870,40.775,7.0,7.0
-73.870,40.776,1.0,3.0
-73.870,40.777,1.0,
-73.871,40.771,9.0,8.0
-73.871,40.772,893.0,67.0
-73.871,40.773,76.0,815.0
-73.871,40.774,28916.0,57338.0
-73.871,40.775,30.0,18.0
-73.871,40.776,,1.0
-73.872,40.771,152.0,18.0
-73.872,40.772,198.0,45.0
-73.872,40.773,10.0,39.0
-73.872,40.774,13806.0,2300.0
-73.872,40.775,2516.0,68.0
-73.872,40.776,2.0,
-73.872,40.778,1.0,
-73.873,40.771,138.0,43.0
-73.873,40.772,256.0,58.0
-73.873,40.773,18.0,38.0
-73.873,40.774,26558.0,55909.0
-73.873,40.775,2134.0,162.0
-73.873,40.776,3.0,4.0
-73.874,40.771,43.0,16.0
-73.874,40.772,60.0,31.0
-73.874,40.773,558.0,92.0
-73.874,40.774,1521.0,22900.0
-73.874,40.775,21.0,37.0
-73.874,40.776,19.0,21.0
-73.875,40.771,106.0,44.0
-73.875,40.772,43.0,52.0
-73.875,40.773,46.0,15.0
-73.875,40.774,245.0,29575.0
-73.875,40.775,,4.0
-73.875,40.776,,4.0
-73.875,40.777,1.0,2.0
-73.875,40.778,,1.0
-73.876,40.771,76.0,71.0
-73.876,40.772,62.0,219.0
-73.876,40.773,123.0,757.0
-73.876,40.774,55.0,639.0
-73.876,40.775,,2.0
-73.876,40.778,,2.0
-73.877,40.771,45.0,32.0
-73.877,40.772,59.0,313.0
-73.877,40.773,48.0,416.0
-73.877,40.774,4.0,8.0
-73.877,40.775,1.0,1.0
-73.877,40.778,1.0,
-73.878,40.771,31.0,93.0
-73.878,40.772,10.0,109.0
-73.878,40.773,,1.0
-73.878,40.777,,2.0
-73.879,40.771,17.0,61.0
-73.879,40.775,,1.0
-73.879,40.777,,1.0
-73.880,40.771,2.0,3.0
-73.882,40.771,1.0,
-73.883,40.768,8.0,9.0
-73.883,40.769,2.0,4.0
-73.883,40.771,1.0,
-73.883,40.774,1.0,
-73.883,40.775,1.0,
-73.884,40.768,10.0,42.0
-73.884,40.769,,1.0
-73.884,40.772,,1.0
-73.884,40.774,14.0,
-73.884,40.775,10.0,2.0
-73.884,40.776,2.0,3.0
-73.885,40.768,2.0,5.0
-73.885,40.769,3.0,
-73.885,40.770,56.0,24.0
-73.885,40.771,188.0,92.0
-73.885,40.772,493.0,48.0
-73.885,40.773,2486.0,9211.0
-73.886,40.768,6.0,8.0
-73.886,40.769,77.0,75.0
-73.886,40.770,7.0,6.0
-73.886,40.771,16.0,12.0
-73.886,40.772,26.0,140.0
-73.886,40.773,1851.0,1586.0
-73.886,40.774,8.0,
-73.887,40.768,219.0,18.0
-73.887,40.769,134.0,57.0
-73.887,40.770,48.0,12.0
-73.887,40.771,1.0,1.0
-73.887,40.772,1.0,
-73.887,40.773,1.0,
-73.887,40.774,2.0,
-73.888,40.768,21.0,18.0
-73.888,40.769,10.0,22.0
-73.888,40.771,2.0,
-73.888,40.772,5.0,
